row_index,datetime,contract,option_type,strike,final_prediction,edge,edge_reason,source,selected_model,bandwidth,loo_mse,n_train,used_cols,edge_side,edge_block_size,edge_position_in_block
2,07-01-2026 09:25,NIFTY27JAN2624300PE,PE,24300,0.15416872911300902,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,5e-05,5.528793290809983e-07,12,NIFTY27JAN2623800PE|NIFTY27JAN2623900PE|NIFTY27JAN2624000PE|NIFTY27JAN2624100PE|NIFTY27JAN2624200PE|NIFTY27JAN2624400PE|NIFTY27JAN2624500PE|NIFTY27JAN2624600PE|NIFTY27JAN2624700PE|NIFTY27JAN2624800PE|NIFTY27JAN2624900PE|NIFTY27JAN2625000PE,,,
2,07-01-2026 09:25,NIFTY27JAN2625100PE,PE,25100,0.11379974670529647,True,edge_no_right_observed,edge_claude_progressive_local_poly_wls,edge_claude_progressive_local_poly_wls,0.0002,3.252055306317394e-07,12,NIFTY27JAN2623800PE|NIFTY27JAN2623900PE|NIFTY27JAN2624000PE|NIFTY27JAN2624100PE|NIFTY27JAN2624200PE|NIFTY27JAN2624400PE|NIFTY27JAN2624500PE|NIFTY27JAN2624600PE|NIFTY27JAN2624700PE|NIFTY27JAN2624800PE|NIFTY27JAN2624900PE|NIFTY27JAN2625000PE,right,1.0,0.0
3,07-01-2026 09:30,NIFTY27JAN2625900CE,CE,25900,0.10277547730972049,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0002,1.9678912471188835e-05,12,NIFTY27JAN2625200CE|NIFTY27JAN2625300CE|NIFTY27JAN2625400CE|NIFTY27JAN2625500CE|NIFTY27JAN2625600CE|NIFTY27JAN2625700CE|NIFTY27JAN2625800CE|NIFTY27JAN2626000CE|NIFTY27JAN2626100CE|NIFTY27JAN2626200CE|NIFTY27JAN2626300CE|NIFTY27JAN2626500CE,,,
3,07-01-2026 09:30,NIFTY27JAN2626400CE,CE,26400,0.0896155006806849,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0002,1.9678912471188835e-05,12,NIFTY27JAN2625200CE|NIFTY27JAN2625300CE|NIFTY27JAN2625400CE|NIFTY27JAN2625500CE|NIFTY27JAN2625600CE|NIFTY27JAN2625700CE|NIFTY27JAN2625800CE|NIFTY27JAN2626000CE|NIFTY27JAN2626100CE|NIFTY27JAN2626200CE|NIFTY27JAN2626300CE|NIFTY27JAN2626500CE,,,
3,07-01-2026 09:30,NIFTY27JAN2623900PE,PE,23900,0.17644870583615999,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0002,3.002366182543949e-06,12,NIFTY27JAN2623800PE|NIFTY27JAN2624000PE|NIFTY27JAN2624100PE|NIFTY27JAN2624200PE|NIFTY27JAN2624400PE|NIFTY27JAN2624500PE|NIFTY27JAN2624600PE|NIFTY27JAN2624700PE|NIFTY27JAN2624800PE|NIFTY27JAN2624900PE|NIFTY27JAN2625000PE|NIFTY27JAN2625100PE,,,
3,07-01-2026 09:30,NIFTY27JAN2624300PE,PE,24300,0.1529532772916505,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0002,3.002366182543949e-06,12,NIFTY27JAN2623800PE|NIFTY27JAN2624000PE|NIFTY27JAN2624100PE|NIFTY27JAN2624200PE|NIFTY27JAN2624400PE|NIFTY27JAN2624500PE|NIFTY27JAN2624600PE|NIFTY27JAN2624700PE|NIFTY27JAN2624800PE|NIFTY27JAN2624900PE|NIFTY27JAN2625000PE|NIFTY27JAN2625100PE,,,
4,07-01-2026 09:35,NIFTY27JAN2625900CE,CE,25900,0.10470388810354282,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.00015,2.612103094319044e-05,12,NIFTY27JAN2625200CE|NIFTY27JAN2625300CE|NIFTY27JAN2625400CE|NIFTY27JAN2625500CE|NIFTY27JAN2625600CE|NIFTY27JAN2625700CE|NIFTY27JAN2625800CE|NIFTY27JAN2626000CE|NIFTY27JAN2626200CE|NIFTY27JAN2626300CE|NIFTY27JAN2626400CE|NIFTY27JAN2626500CE,,,
4,07-01-2026 09:35,NIFTY27JAN2626100CE,CE,26100,0.0973696129632935,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.00015,2.612103094319044e-05,12,NIFTY27JAN2625200CE|NIFTY27JAN2625300CE|NIFTY27JAN2625400CE|NIFTY27JAN2625500CE|NIFTY27JAN2625600CE|NIFTY27JAN2625700CE|NIFTY27JAN2625800CE|NIFTY27JAN2626000CE|NIFTY27JAN2626200CE|NIFTY27JAN2626300CE|NIFTY27JAN2626400CE|NIFTY27JAN2626500CE,,,
4,07-01-2026 09:35,NIFTY27JAN2623900PE,PE,23900,0.17674011935645542,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0002,2.068324342841065e-06,11,NIFTY27JAN2623800PE|NIFTY27JAN2624000PE|NIFTY27JAN2624100PE|NIFTY27JAN2624200PE|NIFTY27JAN2624300PE|NIFTY27JAN2624400PE|NIFTY27JAN2624500PE|NIFTY27JAN2624700PE|NIFTY27JAN2624800PE|NIFTY27JAN2624900PE|NIFTY27JAN2625000PE,,,
4,07-01-2026 09:35,NIFTY27JAN2624600PE,PE,24600,0.1372746513901975,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0002,2.068324342841065e-06,11,NIFTY27JAN2623800PE|NIFTY27JAN2624000PE|NIFTY27JAN2624100PE|NIFTY27JAN2624200PE|NIFTY27JAN2624300PE|NIFTY27JAN2624400PE|NIFTY27JAN2624500PE|NIFTY27JAN2624700PE|NIFTY27JAN2624800PE|NIFTY27JAN2624900PE|NIFTY27JAN2625000PE,,,
4,07-01-2026 09:35,NIFTY27JAN2625100PE,PE,25100,0.11268046244258688,True,edge_no_right_observed,edge_claude_progressive_local_poly_wls,edge_claude_progressive_local_poly_wls,0.0002,2.4996656879438355e-07,11,NIFTY27JAN2623800PE|NIFTY27JAN2624000PE|NIFTY27JAN2624100PE|NIFTY27JAN2624200PE|NIFTY27JAN2624300PE|NIFTY27JAN2624400PE|NIFTY27JAN2624500PE|NIFTY27JAN2624700PE|NIFTY27JAN2624800PE|NIFTY27JAN2624900PE|NIFTY27JAN2625000PE,right,1.0,0.0
5,07-01-2026 09:40,NIFTY27JAN2625600CE,CE,25600,0.08667138532732789,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0001,6.943357267104919e-07,10,NIFTY27JAN2625200CE|NIFTY27JAN2625300CE|NIFTY27JAN2625400CE|NIFTY27JAN2625500CE|NIFTY27JAN2625700CE|NIFTY27JAN2626000CE|NIFTY27JAN2626100CE|NIFTY27JAN2626300CE|NIFTY27JAN2626400CE|NIFTY27JAN2626500CE,,,
5,07-01-2026 09:40,NIFTY27JAN2625800CE,CE,25800,0.0867241653887364,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0001,6.943357267104919e-07,10,NIFTY27JAN2625200CE|NIFTY27JAN2625300CE|NIFTY27JAN2625400CE|NIFTY27JAN2625500CE|NIFTY27JAN2625700CE|NIFTY27JAN2626000CE|NIFTY27JAN2626100CE|NIFTY27JAN2626300CE|NIFTY27JAN2626400CE|NIFTY27JAN2626500CE,,,
5,07-01-2026 09:40,NIFTY27JAN2625900CE,CE,25900,0.08585168838822224,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0001,6.943357267104919e-07,10,NIFTY27JAN2625200CE|NIFTY27JAN2625300CE|NIFTY27JAN2625400CE|NIFTY27JAN2625500CE|NIFTY27JAN2625700CE|NIFTY27JAN2626000CE|NIFTY27JAN2626100CE|NIFTY27JAN2626300CE|NIFTY27JAN2626400CE|NIFTY27JAN2626500CE,,,
5,07-01-2026 09:40,NIFTY27JAN2626200CE,CE,26200,0.08359055817649766,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0001,6.943357267104919e-07,10,NIFTY27JAN2625200CE|NIFTY27JAN2625300CE|NIFTY27JAN2625400CE|NIFTY27JAN2625500CE|NIFTY27JAN2625700CE|NIFTY27JAN2626000CE|NIFTY27JAN2626100CE|NIFTY27JAN2626300CE|NIFTY27JAN2626400CE|NIFTY27JAN2626500CE,,,
5,07-01-2026 09:40,NIFTY27JAN2625100PE,PE,25100,0.114297562645937,True,edge_no_right_observed,edge_claude_progressive_local_poly_wls,edge_claude_progressive_local_poly_wls,0.0002,3.885238920116068e-07,13,NIFTY27JAN2623800PE|NIFTY27JAN2623900PE|NIFTY27JAN2624000PE|NIFTY27JAN2624100PE|NIFTY27JAN2624200PE|NIFTY27JAN2624300PE|NIFTY27JAN2624400PE|NIFTY27JAN2624500PE|NIFTY27JAN2624600PE|NIFTY27JAN2624700PE|NIFTY27JAN2624800PE|NIFTY27JAN2624900PE|NIFTY27JAN2625000PE,right,1.0,0.0
6,07-01-2026 09:45,NIFTY27JAN2625200CE,CE,25200,0.11915941776005369,True,edge_no_left_observed,edge_claude_progressive_local_poly_wls,edge_claude_progressive_local_poly_wls,0.0002,4.660991891352025e-06,11,NIFTY27JAN2625300CE|NIFTY27JAN2625400CE|NIFTY27JAN2625500CE|NIFTY27JAN2625600CE|NIFTY27JAN2625700CE|NIFTY27JAN2625800CE|NIFTY27JAN2626000CE|NIFTY27JAN2626100CE|NIFTY27JAN2626200CE|NIFTY27JAN2626300CE|NIFTY27JAN2626500CE,left,1.0,0.0
6,07-01-2026 09:45,NIFTY27JAN2625900CE,CE,25900,0.09988909095080284,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0002,1.193967641673027e-05,11,NIFTY27JAN2625300CE|NIFTY27JAN2625400CE|NIFTY27JAN2625500CE|NIFTY27JAN2625600CE|NIFTY27JAN2625700CE|NIFTY27JAN2625800CE|NIFTY27JAN2626000CE|NIFTY27JAN2626100CE|NIFTY27JAN2626200CE|NIFTY27JAN2626300CE|NIFTY27JAN2626500CE,,,
6,07-01-2026 09:45,NIFTY27JAN2626400CE,CE,26400,0.08926000649068112,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0002,1.193967641673027e-05,11,NIFTY27JAN2625300CE|NIFTY27JAN2625400CE|NIFTY27JAN2625500CE|NIFTY27JAN2625600CE|NIFTY27JAN2625700CE|NIFTY27JAN2625800CE|NIFTY27JAN2626000CE|NIFTY27JAN2626100CE|NIFTY27JAN2626200CE|NIFTY27JAN2626300CE|NIFTY27JAN2626500CE,,,
6,07-01-2026 09:45,NIFTY27JAN2625000PE,PE,25000,0.11575059638567742,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0002,5.118130120721009e-07,13,NIFTY27JAN2623800PE|NIFTY27JAN2623900PE|NIFTY27JAN2624000PE|NIFTY27JAN2624100PE|NIFTY27JAN2624200PE|NIFTY27JAN2624300PE|NIFTY27JAN2624400PE|NIFTY27JAN2624500PE|NIFTY27JAN2624600PE|NIFTY27JAN2624700PE|NIFTY27JAN2624800PE|NIFTY27JAN2624900PE|NIFTY27JAN2625100PE,,,
7,07-01-2026 09:50,NIFTY27JAN2625200CE,CE,25200,0.12426295974773387,True,edge_no_left_observed,edge_claude_progressive_local_poly_wls,edge_claude_progressive_local_poly_wls,0.0002,2.5551695738568706e-06,10,NIFTY27JAN2625300CE|NIFTY27JAN2625400CE|NIFTY27JAN2625700CE|NIFTY27JAN2625800CE|NIFTY27JAN2625900CE|NIFTY27JAN2626000CE|NIFTY27JAN2626100CE|NIFTY27JAN2626200CE|NIFTY27JAN2626300CE|NIFTY27JAN2626500CE,left,1.0,0.0
7,07-01-2026 09:50,NIFTY27JAN2625500CE,CE,25500,0.10967292488831397,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0002,1.2248925559606215e-05,10,NIFTY27JAN2625300CE|NIFTY27JAN2625400CE|NIFTY27JAN2625700CE|NIFTY27JAN2625800CE|NIFTY27JAN2625900CE|NIFTY27JAN2626000CE|NIFTY27JAN2626100CE|NIFTY27JAN2626200CE|NIFTY27JAN2626300CE|NIFTY27JAN2626500CE,,,
7,07-01-2026 09:50,NIFTY27JAN2625600CE,CE,25600,0.10615511369439586,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0002,1.2248925559606215e-05,10,NIFTY27JAN2625300CE|NIFTY27JAN2625400CE|NIFTY27JAN2625700CE|NIFTY27JAN2625800CE|NIFTY27JAN2625900CE|NIFTY27JAN2626000CE|NIFTY27JAN2626100CE|NIFTY27JAN2626200CE|NIFTY27JAN2626300CE|NIFTY27JAN2626500CE,,,
7,07-01-2026 09:50,NIFTY27JAN2626400CE,CE,26400,0.08813575532236995,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0002,1.2248925559606215e-05,10,NIFTY27JAN2625300CE|NIFTY27JAN2625400CE|NIFTY27JAN2625700CE|NIFTY27JAN2625800CE|NIFTY27JAN2625900CE|NIFTY27JAN2626000CE|NIFTY27JAN2626100CE|NIFTY27JAN2626200CE|NIFTY27JAN2626300CE|NIFTY27JAN2626500CE,,,
7,07-01-2026 09:50,NIFTY27JAN2623800PE,PE,23800,0.1811886219962615,True,edge_no_left_observed,edge_claude_progressive_local_poly_wls,edge_claude_progressive_local_poly_wls,0.0002,3.029801412442458e-07,11,NIFTY27JAN2623900PE|NIFTY27JAN2624000PE|NIFTY27JAN2624100PE|NIFTY27JAN2624200PE|NIFTY27JAN2624300PE|NIFTY27JAN2624400PE|NIFTY27JAN2624600PE|NIFTY27JAN2624700PE|NIFTY27JAN2624800PE|NIFTY27JAN2625000PE|NIFTY27JAN2625100PE,left,1.0,0.0
7,07-01-2026 09:50,NIFTY27JAN2624500PE,PE,24500,0.14107924255336865,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0002,1.0421676077908847e-06,11,NIFTY27JAN2623900PE|NIFTY27JAN2624000PE|NIFTY27JAN2624100PE|NIFTY27JAN2624200PE|NIFTY27JAN2624300PE|NIFTY27JAN2624400PE|NIFTY27JAN2624600PE|NIFTY27JAN2624700PE|NIFTY27JAN2624800PE|NIFTY27JAN2625000PE|NIFTY27JAN2625100PE,,,
7,07-01-2026 09:50,NIFTY27JAN2624900PE,PE,24900,0.12076780346911996,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0002,1.0421676077908847e-06,11,NIFTY27JAN2623900PE|NIFTY27JAN2624000PE|NIFTY27JAN2624100PE|NIFTY27JAN2624200PE|NIFTY27JAN2624300PE|NIFTY27JAN2624400PE|NIFTY27JAN2624600PE|NIFTY27JAN2624700PE|NIFTY27JAN2624800PE|NIFTY27JAN2625000PE|NIFTY27JAN2625100PE,,,
8,07-01-2026 09:55,NIFTY27JAN2625500CE,CE,25500,0.12285932797713967,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0002,2.3044214807256623e-05,11,NIFTY27JAN2625200CE|NIFTY27JAN2625300CE|NIFTY27JAN2625400CE|NIFTY27JAN2625600CE|NIFTY27JAN2625700CE|NIFTY27JAN2626000CE|NIFTY27JAN2626100CE|NIFTY27JAN2626200CE|NIFTY27JAN2626300CE|NIFTY27JAN2626400CE|NIFTY27JAN2626500CE,,,
8,07-01-2026 09:55,NIFTY27JAN2625800CE,CE,25800,0.11161686971643871,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0002,2.3044214807256623e-05,11,NIFTY27JAN2625200CE|NIFTY27JAN2625300CE|NIFTY27JAN2625400CE|NIFTY27JAN2625600CE|NIFTY27JAN2625700CE|NIFTY27JAN2626000CE|NIFTY27JAN2626100CE|NIFTY27JAN2626200CE|NIFTY27JAN2626300CE|NIFTY27JAN2626400CE|NIFTY27JAN2626500CE,,,
8,07-01-2026 09:55,NIFTY27JAN2625900CE,CE,25900,0.10776907493433717,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0002,2.3044214807256623e-05,11,NIFTY27JAN2625200CE|NIFTY27JAN2625300CE|NIFTY27JAN2625400CE|NIFTY27JAN2625600CE|NIFTY27JAN2625700CE|NIFTY27JAN2626000CE|NIFTY27JAN2626100CE|NIFTY27JAN2626200CE|NIFTY27JAN2626300CE|NIFTY27JAN2626400CE|NIFTY27JAN2626500CE,,,
8,07-01-2026 09:55,NIFTY27JAN2624300PE,PE,24300,0.1516409001204202,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,7e-05,3.401187701107054e-07,11,NIFTY27JAN2623800PE|NIFTY27JAN2623900PE|NIFTY27JAN2624000PE|NIFTY27JAN2624100PE|NIFTY27JAN2624200PE|NIFTY27JAN2624400PE|NIFTY27JAN2624500PE|NIFTY27JAN2624600PE|NIFTY27JAN2624800PE|NIFTY27JAN2624900PE|NIFTY27JAN2625100PE,,,
8,07-01-2026 09:55,NIFTY27JAN2624700PE,PE,24700,0.13044705355213185,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,7e-05,3.401187701107054e-07,11,NIFTY27JAN2623800PE|NIFTY27JAN2623900PE|NIFTY27JAN2624000PE|NIFTY27JAN2624100PE|NIFTY27JAN2624200PE|NIFTY27JAN2624400PE|NIFTY27JAN2624500PE|NIFTY27JAN2624600PE|NIFTY27JAN2624800PE|NIFTY27JAN2624900PE|NIFTY27JAN2625100PE,,,
8,07-01-2026 09:55,NIFTY27JAN2625000PE,PE,25000,0.11519564978694222,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,7e-05,3.401187701107054e-07,11,NIFTY27JAN2623800PE|NIFTY27JAN2623900PE|NIFTY27JAN2624000PE|NIFTY27JAN2624100PE|NIFTY27JAN2624200PE|NIFTY27JAN2624400PE|NIFTY27JAN2624500PE|NIFTY27JAN2624600PE|NIFTY27JAN2624800PE|NIFTY27JAN2624900PE|NIFTY27JAN2625100PE,,,
9,07-01-2026 10:00,NIFTY27JAN2625900CE,CE,25900,0.10375308202538243,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0002,5.7891605414692396e-05,11,NIFTY27JAN2625200CE|NIFTY27JAN2625300CE|NIFTY27JAN2625400CE|NIFTY27JAN2625500CE|NIFTY27JAN2625600CE|NIFTY27JAN2625700CE|NIFTY27JAN2625800CE|NIFTY27JAN2626000CE|NIFTY27JAN2626200CE|NIFTY27JAN2626300CE|NIFTY27JAN2626400CE,,,
9,07-01-2026 10:00,NIFTY27JAN2626100CE,CE,26100,0.09699135618688016,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,0.0002,5.7891605414692396e-05,11,NIFTY27JAN2625200CE|NIFTY27JAN2625300CE|NIFTY27JAN2625400CE|NIFTY27JAN2625500CE|NIFTY27JAN2625600CE|NIFTY27JAN2625700CE|NIFTY27JAN2625800CE|NIFTY27JAN2626000CE|NIFTY27JAN2626200CE|NIFTY27JAN2626300CE|NIFTY27JAN2626400CE,,,
9,07-01-2026 10:00,NIFTY27JAN2626500CE,CE,26500,0.08673607018428758,True,edge_no_right_observed,edge_claude_progressive_local_poly_wls,edge_claude_progressive_local_poly_wls,0.0002,3.0152990878064355e-05,11,NIFTY27JAN2625200CE|NIFTY27JAN2625300CE|NIFTY27JAN2625400CE|NIFTY27JAN2625500CE|NIFTY27JAN2625600CE|NIFTY27JAN2625700CE|NIFTY27JAN2625800CE|NIFTY27JAN2626000CE|NIFTY27JAN2626200CE|NIFTY27JAN2626300CE|NIFTY27JAN2626400CE,right,1.0,0.0
9,07-01-2026 10:00,NIFTY27JAN2624600PE,PE,24600,0.1374175147365196,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,7e-05,3.123246163075679e-07,12,NIFTY27JAN2623800PE|NIFTY27JAN2623900PE|NIFTY27JAN2624000PE|NIFTY27JAN2624100PE|NIFTY27JAN2624200PE|NIFTY27JAN2624300PE|NIFTY27JAN2624400PE|NIFTY27JAN2624500PE|NIFTY27JAN2624700PE|NIFTY27JAN2624800PE|NIFTY27JAN2624900PE|NIFTY27JAN2625100PE,,,
9,07-01-2026 10:00,NIFTY27JAN2625000PE,PE,25000,0.11734989542350541,False,not_edge,same_row_non_edge_local_poly_wls,local_quadratic_wls,7e-05,3.123246163075679e-07,12,NIFTY27JAN2623800PE|NIFTY27JAN2623900PE|NIFTY27JAN2624000PE|NIFTY27JAN2624100PE|NIFTY27JAN2624200PE|NIFTY27JAN2624300PE|NIFTY27JAN2624400PE|NIFTY27JAN2624500PE|NIFTY27JAN2624700PE|NIFTY27JAN2624800PE|NIFTY27JAN2624900PE|NIFTY27JAN2625100PE,,,
