row_index,datetime,contract,option_type,strike,date,method,a,pred_t,pred_cross_section,final_prediction
7,07-01-2026 09:50,NIFTY27JAN2623800PE,PE,23800,2026-01-07,pre27_cross_only,0.0,,0.1808681707987692,0.1808681707987692
7,07-01-2026 09:50,NIFTY27JAN2624500PE,PE,24500,2026-01-07,pre27_cross_only,0.0,,0.14116042985353613,0.14116042985353613
7,07-01-2026 09:50,NIFTY27JAN2624900PE,PE,24900,2026-01-07,pre27_cross_only,0.0,,0.12074347325226244,0.12074347325226244
8,07-01-2026 09:55,NIFTY27JAN2625500CE,CE,25500,2026-01-07,pre27_cross_only,0.0,,0.12204360891110369,0.12204360891110369
8,07-01-2026 09:55,NIFTY27JAN2625800CE,CE,25800,2026-01-07,pre27_cross_only,0.0,,0.11138838687803687,0.11138838687803687
8,07-01-2026 09:55,NIFTY27JAN2625900CE,CE,25900,2026-01-07,pre27_cross_only,0.0,,0.10753930354170776,0.10753930354170776
8,07-01-2026 09:55,NIFTY27JAN2624300PE,PE,24300,2026-01-07,pre27_cross_only,0.0,,0.15183937462146702,0.15183937462146702
8,07-01-2026 09:55,NIFTY27JAN2624700PE,PE,24700,2026-01-07,pre27_cross_only,0.0,,0.13031289553375025,0.13031289553375025
8,07-01-2026 09:55,NIFTY27JAN2625000PE,PE,25000,2026-01-07,pre27_cross_only,0.0,,0.11511481942930057,0.11511481942930057
9,07-01-2026 10:00,NIFTY27JAN2625900CE,CE,25900,2026-01-07,pre27_cross_only,0.0,,0.0999119726373474,0.0999119726373474
9,07-01-2026 10:00,NIFTY27JAN2626100CE,CE,26100,2026-01-07,pre27_cross_only,0.0,,0.0952445440229662,0.0952445440229662
9,07-01-2026 10:00,NIFTY27JAN2626500CE,CE,26500,2026-01-07,pre27_cross_only,0.0,,0.09293882528155349,0.09293882528155349
9,07-01-2026 10:00,NIFTY27JAN2624600PE,PE,24600,2026-01-07,pre27_cross_only,0.0,,0.13766407974771155,0.13766407974771155
9,07-01-2026 10:00,NIFTY27JAN2625000PE,PE,25000,2026-01-07,pre27_cross_only,0.0,,0.11724464719838057,0.11724464719838057
10,07-01-2026 10:05,NIFTY27JAN2625200CE,CE,25200,2026-01-07,pre27_cross_only,0.0,,0.09691239853335329,0.09691239853335329
10,07-01-2026 10:05,NIFTY27JAN2625500CE,CE,25500,2026-01-07,pre27_cross_only,0.0,,0.1055918829636321,0.1055918829636321
10,07-01-2026 10:05,NIFTY27JAN2626300CE,CE,26300,2026-01-07,pre27_cross_only,0.0,,0.09688858594166318,0.09688858594166318
11,07-01-2026 10:10,NIFTY27JAN2625500CE,CE,25500,2026-01-07,pre27_cross_only,0.0,,0.10480633164242828,0.10480633164242828
11,07-01-2026 10:10,NIFTY27JAN2625600CE,CE,25600,2026-01-07,pre27_cross_only,0.0,,0.1040482517175408,0.1040482517175408
11,07-01-2026 10:10,NIFTY27JAN2625700CE,CE,25700,2026-01-07,pre27_cross_only,0.0,,0.10311538328180317,0.10311538328180317
11,07-01-2026 10:10,NIFTY27JAN2625900CE,CE,25900,2026-01-07,pre27_cross_only,0.0,,0.10073660956306538,0.10073660956306538
11,07-01-2026 10:10,NIFTY27JAN2626000CE,CE,26000,2026-01-07,pre27_cross_only,0.0,,0.09929607526401275,0.09929607526401275
11,07-01-2026 10:10,NIFTY27JAN2623800PE,PE,23800,2026-01-07,pre27_cross_only,0.0,,0.18298177327217496,0.18298177327217496
11,07-01-2026 10:10,NIFTY27JAN2623900PE,PE,23900,2026-01-07,pre27_cross_only,0.0,,0.1772504418475319,0.1772504418475319
11,07-01-2026 10:10,NIFTY27JAN2624200PE,PE,24200,2026-01-07,pre27_cross_only,0.0,,0.16101140366696853,0.16101140366696853
12,07-01-2026 10:15,NIFTY27JAN2625700CE,CE,25700,2026-01-07,pre27_cross_only,0.0,,0.09276011540910559,0.09276011540910559
12,07-01-2026 10:15,NIFTY27JAN2626100CE,CE,26100,2026-01-07,pre27_cross_only,0.0,,0.08590205687722623,0.08590205687722623
12,07-01-2026 10:15,NIFTY27JAN2626200CE,CE,26200,2026-01-07,pre27_cross_only,0.0,,0.08541818591338537,0.08541818591338537
12,07-01-2026 10:15,NIFTY27JAN2626500CE,CE,26500,2026-01-07,pre27_cross_only,0.0,,0.08901264325543125,0.08901264325543125
12,07-01-2026 10:15,NIFTY27JAN2623900PE,PE,23900,2026-01-07,pre27_cross_only,0.0,,0.17826898326178295,0.17826898326178295
13,07-01-2026 10:20,NIFTY27JAN2625500CE,CE,25500,2026-01-07,pre27_cross_only,0.0,,0.11186088589948184,0.11186088589948184
13,07-01-2026 10:20,NIFTY27JAN2625700CE,CE,25700,2026-01-07,pre27_cross_only,0.0,,0.10233987489639063,0.10233987489639063
13,07-01-2026 10:20,NIFTY27JAN2626100CE,CE,26100,2026-01-07,pre27_cross_only,0.0,,0.08993302811064652,0.08993302811064652
13,07-01-2026 10:20,NIFTY27JAN2624000PE,PE,24000,2026-01-07,pre27_cross_only,0.0,,0.17229722187549523,0.17229722187549523
13,07-01-2026 10:20,NIFTY27JAN2624200PE,PE,24200,2026-01-07,pre27_cross_only,0.0,,0.16135648291461413,0.16135648291461413
13,07-01-2026 10:20,NIFTY27JAN2624300PE,PE,24300,2026-01-07,pre27_cross_only,0.0,,0.15593906191135343,0.15593906191135343
13,07-01-2026 10:20,NIFTY27JAN2624500PE,PE,24500,2026-01-07,pre27_cross_only,0.0,,0.14521011685919305,0.14521011685919305
14,07-01-2026 10:25,NIFTY27JAN2625600CE,CE,25600,2026-01-07,pre27_cross_only,0.0,,0.10144,0.10144
14,07-01-2026 10:25,NIFTY27JAN2625700CE,CE,25700,2026-01-07,pre27_cross_only,0.0,,0.09325,0.09325
14,07-01-2026 10:25,NIFTY27JAN2626100CE,CE,26100,2026-01-07,pre27_cross_only,0.0,,0.089555,0.089555
14,07-01-2026 10:25,NIFTY27JAN2624000PE,PE,24000,2026-01-07,pre27_cross_only,0.0,,0.171061562094184,0.171061562094184
14,07-01-2026 10:25,NIFTY27JAN2624100PE,PE,24100,2026-01-07,pre27_cross_only,0.0,,0.16554081812589727,0.16554081812589727
15,07-01-2026 10:30,NIFTY27JAN2625500CE,CE,25500,2026-01-07,pre27_cross_only,0.0,,0.1183012853766888,0.1183012853766888
15,07-01-2026 10:30,NIFTY27JAN2625600CE,CE,25600,2026-01-07,pre27_cross_only,0.0,,0.11184410251268272,0.11184410251268272
15,07-01-2026 10:30,NIFTY27JAN2626000CE,CE,26000,2026-01-07,pre27_cross_only,0.0,,0.09501516000509785,0.09501516000509785
15,07-01-2026 10:30,NIFTY27JAN2626200CE,CE,26200,2026-01-07,pre27_cross_only,0.0,,0.09033856212037986,0.09033856212037986
15,07-01-2026 10:30,NIFTY27JAN2626300CE,CE,26300,2026-01-07,pre27_cross_only,0.0,,0.08875873152029284,0.08875873152029284
15,07-01-2026 10:30,NIFTY27JAN2624200PE,PE,24200,2026-01-07,pre27_cross_only,0.0,,0.1592051089289021,0.1592051089289021
15,07-01-2026 10:30,NIFTY27JAN2625100PE,PE,25100,2026-01-07,pre27_cross_only,0.0,,0.11152254359391611,0.11152254359391611
16,07-01-2026 10:35,NIFTY27JAN2625400CE,CE,25400,2026-01-07,pre27_cross_only,0.0,,0.12660789004509138,0.12660789004509138
16,07-01-2026 10:35,NIFTY27JAN2625500CE,CE,25500,2026-01-07,pre27_cross_only,0.0,,0.11441984567822461,0.11441984567822461
16,07-01-2026 10:35,NIFTY27JAN2626100CE,CE,26100,2026-01-07,pre27_cross_only,0.0,,0.09484645941071349,0.09484645941071349
16,07-01-2026 10:35,NIFTY27JAN2626300CE,CE,26300,2026-01-07,pre27_cross_only,0.0,,0.08968435634389933,0.08968435634389933
16,07-01-2026 10:35,NIFTY27JAN2623800PE,PE,23800,2026-01-07,pre27_cross_only,0.0,,0.18224090821790823,0.18224090821790823
16,07-01-2026 10:35,NIFTY27JAN2624200PE,PE,24200,2026-01-07,pre27_cross_only,0.0,,0.15923913739886875,0.15923913739886875
16,07-01-2026 10:35,NIFTY27JAN2624500PE,PE,24500,2026-01-07,pre27_cross_only,0.0,,0.14262281735916782,0.14262281735916782
16,07-01-2026 10:35,NIFTY27JAN2625000PE,PE,25000,2026-01-07,pre27_cross_only,0.0,,0.11617915852732306,0.11617915852732306
17,07-01-2026 10:40,NIFTY27JAN2625200CE,CE,25200,2026-01-07,pre27_cross_only,0.0,,0.13075098494134144,0.13075098494134144
17,07-01-2026 10:40,NIFTY27JAN2625400CE,CE,25400,2026-01-07,pre27_cross_only,0.0,,0.1172291383616173,0.1172291383616173
17,07-01-2026 10:40,NIFTY27JAN2625600CE,CE,25600,2026-01-07,pre27_cross_only,0.0,,0.10782500647461823,0.10782500647461823
17,07-01-2026 10:40,NIFTY27JAN2625800CE,CE,25800,2026-01-07,pre27_cross_only,0.0,,0.1001385344747785,0.1001385344747785
17,07-01-2026 10:40,NIFTY27JAN2626100CE,CE,26100,2026-01-07,pre27_cross_only,0.0,,0.09182943876344041,0.09182943876344041
17,07-01-2026 10:40,NIFTY27JAN2626300CE,CE,26300,2026-01-07,pre27_cross_only,0.0,,0.08843711648149544,0.08843711648149544
17,07-01-2026 10:40,NIFTY27JAN2623900PE,PE,23900,2026-01-07,pre27_cross_only,0.0,,0.17715235864843917,0.17715235864843917
17,07-01-2026 10:40,NIFTY27JAN2624900PE,PE,24900,2026-01-07,pre27_cross_only,0.0,,0.12224059234034627,0.12224059234034627
17,07-01-2026 10:40,NIFTY27JAN2625100PE,PE,25100,2026-01-07,pre27_cross_only,0.0,,0.11186893439282755,0.11186893439282755
18,07-01-2026 10:45,NIFTY27JAN2625300CE,CE,25300,2026-01-07,pre27_cross_only,0.0,,0.12081266391380116,0.12081266391380116
18,07-01-2026 10:45,NIFTY27JAN2626000CE,CE,26000,2026-01-07,pre27_cross_only,0.0,,0.09537181691677872,0.09537181691677872
18,07-01-2026 10:45,NIFTY27JAN2626400CE,CE,26400,2026-01-07,pre27_cross_only,0.0,,0.08721031498640837,0.08721031498640837
18,07-01-2026 10:45,NIFTY27JAN2624000PE,PE,24000,2026-01-07,pre27_cross_only,0.0,,0.17054220647496152,0.17054220647496152
18,07-01-2026 10:45,NIFTY27JAN2625100PE,PE,25100,2026-01-07,pre27_cross_only,0.0,,0.11145157205598322,0.11145157205598322
19,07-01-2026 10:50,NIFTY27JAN2625600CE,CE,25600,2026-01-07,pre27_cross_only,0.0,,0.1156058220093485,0.1156058220093485
19,07-01-2026 10:50,NIFTY27JAN2625800CE,CE,25800,2026-01-07,pre27_cross_only,0.0,,0.10427721549886407,0.10427721549886407
19,07-01-2026 10:50,NIFTY27JAN2623900PE,PE,23900,2026-01-07,pre27_cross_only,0.0,,0.17637826839639836,0.17637826839639836
19,07-01-2026 10:50,NIFTY27JAN2624200PE,PE,24200,2026-01-07,pre27_cross_only,0.0,,0.15978227245004806,0.15978227245004806
20,07-01-2026 10:55,NIFTY27JAN2625500CE,CE,25500,2026-01-07,pre27_cross_only,0.0,,0.10213888818494923,0.10213888818494923
20,07-01-2026 10:55,NIFTY27JAN2624300PE,PE,24300,2026-01-07,pre27_cross_only,0.0,,0.1557852631643917,0.1557852631643917
20,07-01-2026 10:55,NIFTY27JAN2624900PE,PE,24900,2026-01-07,pre27_cross_only,0.0,,0.1234468940778124,0.1234468940778124
21,07-01-2026 11:00,NIFTY27JAN2626500CE,CE,26500,2026-01-07,pre27_cross_only,0.0,,0.08513576515057271,0.08513576515057271
21,07-01-2026 11:00,NIFTY27JAN2624200PE,PE,24200,2026-01-07,pre27_cross_only,0.0,,0.16083111568432934,0.16083111568432934
22,07-01-2026 11:05,NIFTY27JAN2625200CE,CE,25200,2026-01-07,pre27_cross_only,0.0,,0.11054486288893753,0.11054486288893753
22,07-01-2026 11:05,NIFTY27JAN2626000CE,CE,26000,2026-01-07,pre27_cross_only,0.0,,0.09503500000076529,0.09503500000076529
22,07-01-2026 11:05,NIFTY27JAN2626200CE,CE,26200,2026-01-07,pre27_cross_only,0.0,,0.0901399999994875,0.0901399999994875
22,07-01-2026 11:05,NIFTY27JAN2624300PE,PE,24300,2026-01-07,pre27_cross_only,0.0,,0.15669110193109326,0.15669110193109326
22,07-01-2026 11:05,NIFTY27JAN2624600PE,PE,24600,2026-01-07,pre27_cross_only,0.0,,0.1404032405975455,0.1404032405975455
22,07-01-2026 11:05,NIFTY27JAN2624800PE,PE,24800,2026-01-07,pre27_cross_only,0.0,,0.12972684977320847,0.12972684977320847
23,07-01-2026 11:10,NIFTY27JAN2625200CE,CE,25200,2026-01-07,pre27_cross_only,0.0,,0.10830379311299983,0.10830379311299983
23,07-01-2026 11:10,NIFTY27JAN2625500CE,CE,25500,2026-01-07,pre27_cross_only,0.0,,0.10591570550319643,0.10591570550319643
23,07-01-2026 11:10,NIFTY27JAN2625700CE,CE,25700,2026-01-07,pre27_cross_only,0.0,,0.1006036961811854,0.1006036961811854
23,07-01-2026 11:10,NIFTY27JAN2625900CE,CE,25900,2026-01-07,pre27_cross_only,0.0,,0.09467794579986101,0.09467794579986101
23,07-01-2026 11:10,NIFTY27JAN2626300CE,CE,26300,2026-01-07,pre27_cross_only,0.0,,0.08821069512716388,0.08821069512716388
23,07-01-2026 11:10,NIFTY27JAN2624400PE,PE,24400,2026-01-07,pre27_cross_only,0.0,,0.15011549603837882,0.15011549603837882
23,07-01-2026 11:10,NIFTY27JAN2624800PE,PE,24800,2026-01-07,pre27_cross_only,0.0,,0.12868126888873954,0.12868126888873954
24,07-01-2026 11:15,NIFTY27JAN2625400CE,CE,25400,2026-01-07,pre27_cross_only,0.0,,0.12297816024976041,0.12297816024976041
24,07-01-2026 11:15,NIFTY27JAN2626100CE,CE,26100,2026-01-07,pre27_cross_only,0.0,,0.0924392383968656,0.0924392383968656
24,07-01-2026 11:15,NIFTY27JAN2626300CE,CE,26300,2026-01-07,pre27_cross_only,0.0,,0.0898904365343629,0.0898904365343629
24,07-01-2026 11:15,NIFTY27JAN2624000PE,PE,24000,2026-01-07,pre27_cross_only,0.0,,0.17091192467852778,0.17091192467852778
24,07-01-2026 11:15,NIFTY27JAN2624800PE,PE,24800,2026-01-07,pre27_cross_only,0.0,,0.12730638966620056,0.12730638966620056
25,07-01-2026 11:20,NIFTY27JAN2625300CE,CE,25300,2026-01-07,pre27_cross_only,0.0,,0.12559560230415917,0.12559560230415917
25,07-01-2026 11:20,NIFTY27JAN2625700CE,CE,25700,2026-01-07,pre27_cross_only,0.0,,0.10243637611614866,0.10243637611614866
25,07-01-2026 11:20,NIFTY27JAN2626000CE,CE,26000,2026-01-07,pre27_cross_only,0.0,,0.09169113782611388,0.09169113782611388
25,07-01-2026 11:20,NIFTY27JAN2623800PE,PE,23800,2026-01-07,pre27_cross_only,0.0,,0.18223289586586772,0.18223289586586772
25,07-01-2026 11:20,NIFTY27JAN2624200PE,PE,24200,2026-01-07,pre27_cross_only,0.0,,0.15998214066924152,0.15998214066924152
25,07-01-2026 11:20,NIFTY27JAN2624900PE,PE,24900,2026-01-07,pre27_cross_only,0.0,,0.12205805962329946,0.12205805962329946
26,07-01-2026 11:25,NIFTY27JAN2625300CE,CE,25300,2026-01-07,pre27_cross_only,0.0,,0.13244451233065851,0.13244451233065851
26,07-01-2026 11:25,NIFTY27JAN2625700CE,CE,25700,2026-01-07,pre27_cross_only,0.0,,0.10957228842050247,0.10957228842050247
26,07-01-2026 11:25,NIFTY27JAN2625800CE,CE,25800,2026-01-07,pre27_cross_only,0.0,,0.10472271977378292,0.10472271977378292
26,07-01-2026 11:25,NIFTY27JAN2625900CE,CE,25900,2026-01-07,pre27_cross_only,0.0,,0.10031944006203602,0.10031944006203602
26,07-01-2026 11:25,NIFTY27JAN2626000CE,CE,26000,2026-01-07,pre27_cross_only,0.0,,0.09650802876670915,0.09650802876670915
26,07-01-2026 11:25,NIFTY27JAN2626200CE,CE,26200,2026-01-07,pre27_cross_only,0.0,,0.09106269795440229,0.09106269795440229
26,07-01-2026 11:25,NIFTY27JAN2623800PE,PE,23800,2026-01-07,pre27_cross_only,0.0,,0.18168853613572697,0.18168853613572697
26,07-01-2026 11:25,NIFTY27JAN2624400PE,PE,24400,2026-01-07,pre27_cross_only,0.0,,0.14824009072979713,0.14824009072979713
26,07-01-2026 11:25,NIFTY27JAN2624800PE,PE,24800,2026-01-07,pre27_cross_only,0.0,,0.12650504953460973,0.12650504953460973
27,07-01-2026 11:30,NIFTY27JAN2624300PE,PE,24300,2026-01-07,pre27_cross_only,0.0,,0.15424314544637577,0.15424314544637577
27,07-01-2026 11:30,NIFTY27JAN2624400PE,PE,24400,2026-01-07,pre27_cross_only,0.0,,0.14856907955819243,0.14856907955819243
28,07-01-2026 11:35,NIFTY27JAN2626300CE,CE,26300,2026-01-07,pre27_cross_only,0.0,,0.08741898828484228,0.08741898828484228
28,07-01-2026 11:35,NIFTY27JAN2624900PE,PE,24900,2026-01-07,pre27_cross_only,0.0,,0.12264537329756717,0.12264537329756717
29,07-01-2026 11:40,NIFTY27JAN2625200CE,CE,25200,2026-01-07,pre27_cross_only,0.0,,0.1443735619581593,0.1443735619581593
29,07-01-2026 11:40,NIFTY27JAN2625900CE,CE,25900,2026-01-07,pre27_cross_only,0.0,,0.1015440717415648,0.1015440717415648
29,07-01-2026 11:40,NIFTY27JAN2624000PE,PE,24000,2026-01-07,pre27_cross_only,0.0,,0.1707240160392689,0.1707240160392689
29,07-01-2026 11:40,NIFTY27JAN2624500PE,PE,24500,2026-01-07,pre27_cross_only,0.0,,0.14323911593902272,0.14323911593902272
30,07-01-2026 11:45,NIFTY27JAN2625500CE,CE,25500,2026-01-07,pre27_cross_only,0.0,,0.12128176161416704,0.12128176161416704
30,07-01-2026 11:45,NIFTY27JAN2625600CE,CE,25600,2026-01-07,pre27_cross_only,0.0,,0.11459005449286153,0.11459005449286153
30,07-01-2026 11:45,NIFTY27JAN2626400CE,CE,26400,2026-01-07,pre27_cross_only,0.0,,0.08945941334322782,0.08945941334322782
30,07-01-2026 11:45,NIFTY27JAN2624000PE,PE,24000,2026-01-07,pre27_cross_only,0.0,,0.1700664489661987,0.1700664489661987
30,07-01-2026 11:45,NIFTY27JAN2625000PE,PE,25000,2026-01-07,pre27_cross_only,0.0,,0.11576789300951873,0.11576789300951873
31,07-01-2026 11:50,NIFTY27JAN2625700CE,CE,25700,2026-01-07,pre27_cross_only,0.0,,0.10273500703262957,0.10273500703262957
31,07-01-2026 11:50,NIFTY27JAN2626400CE,CE,26400,2026-01-07,pre27_cross_only,0.0,,0.08645448893894422,0.08645448893894422
31,07-01-2026 11:50,NIFTY27JAN2624000PE,PE,24000,2026-01-07,pre27_cross_only,0.0,,0.1701496963573077,0.1701496963573077
31,07-01-2026 11:50,NIFTY27JAN2624600PE,PE,24600,2026-01-07,pre27_cross_only,0.0,,0.13713436757060338,0.13713436757060338
32,07-01-2026 11:55,NIFTY27JAN2625200CE,CE,25200,2026-01-07,pre27_cross_only,0.0,,0.15972368405175705,0.15972368405175705
32,07-01-2026 11:55,NIFTY27JAN2625400CE,CE,25400,2026-01-07,pre27_cross_only,0.0,,0.12459422866938041,0.12459422866938041
32,07-01-2026 11:55,NIFTY27JAN2626100CE,CE,26100,2026-01-07,pre27_cross_only,0.0,,0.09047011864301524,0.09047011864301524
32,07-01-2026 11:55,NIFTY27JAN2626300CE,CE,26300,2026-01-07,pre27_cross_only,0.0,,0.08777027594559428,0.08777027594559428
32,07-01-2026 11:55,NIFTY27JAN2623900PE,PE,23900,2026-01-07,pre27_cross_only,0.0,,0.17550340598846617,0.17550340598846617
33,07-01-2026 12:00,NIFTY27JAN2625500CE,CE,25500,2026-01-07,pre27_cross_only,0.0,,0.1223639449172135,0.1223639449172135
33,07-01-2026 12:00,NIFTY27JAN2625600CE,CE,25600,2026-01-07,pre27_cross_only,0.0,,0.11266742348753706,0.11266742348753706
33,07-01-2026 12:00,NIFTY27JAN2626400CE,CE,26400,2026-01-07,pre27_cross_only,0.0,,0.08855995636699059,0.08855995636699059
33,07-01-2026 12:00,NIFTY27JAN2624300PE,PE,24300,2026-01-07,pre27_cross_only,0.0,,0.15240622032595594,0.15240622032595594
33,07-01-2026 12:00,NIFTY27JAN2624500PE,PE,24500,2026-01-07,pre27_cross_only,0.0,,0.14131397493414574,0.14131397493414574
34,07-01-2026 12:05,NIFTY27JAN2625300CE,CE,25300,2026-01-07,pre27_cross_only,0.0,,0.14789191370346733,0.14789191370346733
34,07-01-2026 12:05,NIFTY27JAN2625900CE,CE,25900,2026-01-07,pre27_cross_only,0.0,,0.10049585204112928,0.10049585204112928
34,07-01-2026 12:05,NIFTY27JAN2626000CE,CE,26000,2026-01-07,pre27_cross_only,0.0,,0.09369687467681916,0.09369687467681916
34,07-01-2026 12:05,NIFTY27JAN2626300CE,CE,26300,2026-01-07,pre27_cross_only,0.0,,0.09051557043431276,0.09051557043431276
34,07-01-2026 12:05,NIFTY27JAN2626400CE,CE,26400,2026-01-07,pre27_cross_only,0.0,,0.08852701163695431,0.08852701163695431
34,07-01-2026 12:05,NIFTY27JAN2624200PE,PE,24200,2026-01-07,pre27_cross_only,0.0,,0.157711303363851,0.157711303363851
34,07-01-2026 12:05,NIFTY27JAN2624300PE,PE,24300,2026-01-07,pre27_cross_only,0.0,,0.15183621876688147,0.15183621876688147
35,07-01-2026 12:10,NIFTY27JAN2625200CE,CE,25200,2026-01-07,pre27_cross_only,0.0,,0.17128254056798473,0.17128254056798473
35,07-01-2026 12:10,NIFTY27JAN2625600CE,CE,25600,2026-01-07,pre27_cross_only,0.0,,0.11723726684316915,0.11723726684316915
35,07-01-2026 12:10,NIFTY27JAN2626500CE,CE,26500,2026-01-07,pre27_cross_only,0.0,,0.08732536061451089,0.08732536061451089
35,07-01-2026 12:10,NIFTY27JAN2624000PE,PE,24000,2026-01-07,pre27_cross_only,0.0,,0.1684894202898528,0.1684894202898528
36,07-01-2026 12:15,NIFTY27JAN2625300CE,CE,25300,2026-01-07,pre27_cross_only,0.0,,0.15156888039102512,0.15156888039102512
36,07-01-2026 12:15,NIFTY27JAN2625500CE,CE,25500,2026-01-07,pre27_cross_only,0.0,,0.1293153430310099,0.1293153430310099
36,07-01-2026 12:15,NIFTY27JAN2625600CE,CE,25600,2026-01-07,pre27_cross_only,0.0,,0.12001049536714703,0.12001049536714703
